ID,Name,Age,Gender,Country,Date of Joining,Salary,Department,Performance Score,Active
8003,Dakota Mckinney,56,M,Costa Rica,2015-10-14,94513.8,Sales,6,False
8004,Dorothy Reyes,60,F,Rwanda,2023-01-24,54338.7,Engineering,5,False
8005,Cody Wilkins,33,F,Cambodia,2024-01-10,81373.27,Sales,2,True
8006,John Reynolds MD,39,M,Lebanon,2022-09-25,32666.17,Sales,8,False
8007,Christine Parker,24,M,Saint Lucia,2022-04-26,100069.06,Sales,9,False
8008,Michael Barron,64,F,Honduras,2021-03-11,30784.46,Finance,8,False
8009,Richard Medina,63,F,British Indian Ocean Territory (Chagos Archipelago),2024-09-04,112370.55,Finance,1,False
8010,Kari Olsen,45,F,Czech Republic,2019-12-24,116439.02,Sales,2,True
8011,David Wright,33,M,Tunisia,2023-10-13,58607.15,Sales,5,True
8012,Sharon Mills,26,F,Bahrain,2021-02-01,50588.93,Engineering,9,False
8013,Mary Spence,57,F,Ireland,2022-03-29,65046.51,HR,7,False
8014,Amy Ayala,45,M,Suriname,2017-06-26,33527.43,Marketing,5,True
8015,Alexander Brown,44,F,Congo,2017-10-19,41209.35,Marketing,2,False
8016,Sandra Miller,21,M,Romania,2017-08-17,67922.74,HR,6,False
8017,Phillip Rodriguez,33,M,Samoa,2016-04-07,43844.97,Engineering,9,True
8018,Ryan Neal,47,M,Mauritius,2024-08-26,108401.09,Marketing,8,False
8019,Tracy Newton,56,M,Austria,2015-10-29,66986.57,Finance,9,True
8020,Donald Solomon,59,F,Niger,2020-11-24,47677.29,Sales,3,True
8021,Brian Jacobs,27,F,Latvia,2014-10-30,62087.64,Engineering,1,False
8022,Alex Garcia,58,M,Tokelau,2024-06-28,97850.58,Sales,1,False
8023,Elizabeth Garcia,33,M,Macedonia,2019-03-14,102881.75,Finance,2,True
8024,Mathew Clark,35,M,Kuwait,2017-12-21,35877.46,HR,9,True
8025,Jonathan Martinez,32,F,United Arab Emirates,2021-12-24,76951.62,Marketing,4,False
8026,Donna Riddle,61,F,Paraguay,2016-05-11,105666.05,Sales,8,True
8027,Daniel Franco,59,M,Oman,2021-05-24,35215.27,Finance,6,True
8028,Steven Gutierrez,45,M,Equatorial Guinea,2019-04-03,54067.75,Marketing,9,True
8029,Erin Johnson,51,F,Egypt,2015-05-22,80678.66,Finance,2,True
8030,Jamie Scott,19,F,Gibraltar,2019-06-12,48875.12,Marketing,4,False
8031,Paul Jones,57,F,Portugal,2018-08-12,36001.21,Finance,3,True
8032,Sarah Ortiz,21,M,Suriname,2020-01-17,94323.54,Sales,2,False
8033,Jose Reed,20,F,Russian Federation,2015-01-28,89132.28,HR,2,False
8034,Ashley Warner,23,F,Uganda,2022-07-27,34330.53,Marketing,9,True
8035,Terri Davis,19,F,United States of America,2016-05-10,118267.66,Finance,5,False
8036,Stephanie Dorsey,23,F,Yemen,2024-09-26,74626.98,Marketing,1,False
8037,Brenda Wright,54,F,San Marino,2024-03-07,82701.45,HR,3,True
8038,Larry Arroyo,50,M,Argentina,2020-07-26,39561.1,Sales,1,False
8039,Jeffery Larsen,28,F,Niue,2024-02-02,84944.53,Sales,1,False
8040,Dennis Donovan,58,M,Burkina Faso,2021-11-20,107559.89,Sales,7,False
8041,Scott Gonzales,35,F,Guatemala,2022-03-20,115424.48,Engineering,3,True
8042,Billy Fischer,50,M,Romania,2017-01-15,78644.26,Marketing,6,True
8043,Alicia Dixon,27,F,Kuwait,2018-10-06,111431.85,Sales,4,False
8044,Kim Carson,48,M,Svalbard & Jan Mayen Islands,2022-08-15,65952.04,Engineering,5,True
8045,Renee Roberson DDS,53,F,Honduras,2017-06-20,56357.84,Marketing,2,True
8046,Jennifer Thompson,34,M,Oman,2020-01-25,34993.37,Finance,1,True
8047,Lorraine Williams,59,M,Sierra Leone,2020-06-24,99598.58,HR,8,False
8048,Frances Collins,40,M,Bermuda,2016-07-10,37721.72,Engineering,1,False
8049,Richard Brown,59,M,Honduras,2020-05-07,117298.34,Sales,8,False
8050,Kristen Arnold,34,M,El Salvador,2024-03-20,119965.22,Engineering,7,True
8051,Crystal Adams,24,M,Lesotho,2020-04-10,48254.82,Finance,6,True
8052,Stephen Gill,34,M,Kiribati,2017-03-01,85021.96,HR,5,True
8053,Amy Christian,20,M,Rwanda,2019-08-01,112946.46,Sales,8,True
8054,April Robinson,40,M,United Arab Emirates,2018-12-30,110104.74,Engineering,6,True
8055,Matthew Dunn,64,M,El Salvador,2019-11-23,88819.39,HR,7,True
8056,Leah Mcintyre,53,F,Bhutan,2024-08-24,37665.81,Finance,4,True
8057,Matthew Henry,19,M,Bangladesh,2024-07-27,39069.73,Finance,4,True
8058,Theodore Thornton,47,M,Greenland,2020-07-23,117220.25,Engineering,2,False
8059,Dale Jones,57,M,Hungary,2020-10-10,54024.1,Marketing,7,True
8060,Stephen Armstrong,64,M,Zimbabwe,2015-01-07,108712.45,Marketing,4,False
8061,Jason Patterson,26,M,Morocco,2016-05-05,74748.65,HR,7,False
8062,Jimmy Thompson,26,F,Djibouti,2020-03-22,84957.88,Sales,8,False
8063,Amanda Dunlap,24,M,Wallis and Futuna,2018-01-30,112817.17,Finance,4,True
8064,Victoria Arroyo,37,F,Saint Martin,2021-02-09,108334.56,Sales,1,False
8065,Brittney Rodriguez,44,M,Indonesia,2024-07-03,76250.42,Finance,3,False
8066,Christopher Reyes,36,M,Dominica,2023-06-05,100011.65,Engineering,6,True
8067,Patrick Robinson,58,F,Saint Kitts and Nevis,2014-12-01,84098.47,Finance,6,False
8068,Anthony Williams,53,F,United States Minor Outlying Islands,2019-05-16,50760.17,Finance,5,False
8069,Veronica Duran,32,F,Tunisia,2016-01-28,74458.57,Engineering,9,False
8070,Nathan Crawford,51,F,British Virgin Islands,2022-03-28,91090.4,Sales,3,False
8071,Julia Oneal,38,M,Fiji,2019-12-12,100690.95,HR,9,True
8072,Vanessa Norton,47,F,Pitcairn Islands,2017-10-10,96436.25,HR,5,False
8073,Kimberly Michael,33,F,Ghana,2023-11-12,60352.92,HR,5,False
8074,Shawn Martinez,39,M,Samoa,2017-04-28,92064.38,Engineering,8,True
8075,Robert Avila,18,M,Australia,2017-07-12,110490.48,HR,2,True
8076,Meredith Owens,36,M,Puerto Rico,2022-01-14,77543.53,Sales,3,True
8077,Stephanie Franco,42,F,Tuvalu,2024-09-26,73309.35,Marketing,3,True
8078,Angelica Ward,28,F,Sweden,2024-01-02,39582.81,Sales,1,True
8079,Sandra Cervantes,24,F,Christmas Island,2018-12-05,83984.99,HR,4,False
8080,Kristina Alexander,60,M,Guinea,2022-06-08,93511.03,Engineering,4,True
8081,Colin Cardenas,28,M,Aruba,2021-03-18,101703.84,HR,5,False
8082,Ryan Ashley,30,F,Germany,2020-08-28,87931.03,Sales,1,True
8083,Bradley Sullivan,31,M,Ethiopia,2018-08-26,56149.07,Finance,6,False
8084,Troy Mitchell,37,M,Panama,2019-12-18,113196.87,Finance,1,False
8085,Patricia Baldwin,34,M,Australia,2021-08-23,100659.75,Engineering,7,False
8086,Renee Mitchell,38,M,Pitcairn Islands,2020-05-15,115815.08,Sales,4,False
8087,Tiffany Ruiz,25,M,Falkland Islands (Malvinas),2019-08-02,40477.33,Sales,8,True
8088,John Smith,23,F,Honduras,2017-11-12,83777.96,Marketing,2,True
8089,Anita Lawrence,28,M,Dominica,2020-10-23,71404.21,Finance,5,True
8090,Brooke Rodriguez,56,F,Guam,2022-08-26,96384.93,Marketing,9,False
8091,Melissa Martinez,37,M,Benin,2017-09-30,96631.45,HR,3,True
8092,Antonio Taylor DDS,33,M,Greenland,2018-11-19,30833.38,Sales,4,True
8093,Gregory Gardner,49,F,Micronesia,2015-03-02,77458.37,Finance,5,False
8094,Jennifer Ward,19,F,Korea,2015-02-09,45188.32,Sales,5,False
8095,Brandon Juarez,24,F,Netherlands Antilles,2018-10-13,117762.55,Marketing,1,False
8096,Steven Bowers,35,F,Chad,2020-11-25,56540.16,Marketing,3,True
8097,James Orr,22,M,Guinea-Bissau,2018-10-01,64035.85,HR,8,True
8098,Jeffrey Velez,49,M,Sri Lanka,2018-10-24,67163.3,HR,7,True
8099,Kelly Rush,61,F,Brunei Darussalam,2020-07-12,48319.72,Marketing,9,False
8100,Jody Fernandez,36,M,Sao Tome and Principe,2015-08-11,56426.16,HR,2,True
8101,Jeffrey Anderson,27,F,Bhutan,2021-01-21,54703.61,Marketing,8,True
8102,Jennifer Reid MD,38,M,Botswana,2015-03-03,51591.31,Marketing,2,True
8103,Heidi Miller,39,F,Bahamas,2021-07-21,56760.63,Engineering,1,True
8104,Evan Baker,27,F,Saint Pierre and Miquelon,2017-08-19,35295.0,Marketing,6,True
8105,Sonya Burnett,35,F,Reunion,2024-04-23,108013.61,Engineering,9,True
8106,Dawn Mcclure,52,M,Afghanistan,2015-06-25,70835.56,Marketing,5,False
8107,Christine Gutierrez,22,M,Tokelau,2018-01-22,107849.63,HR,8,True
8108,Wanda Williams,52,F,Chad,2018-03-12,111120.35,Sales,9,False
8109,Joseph Cabrera,40,F,Niger,2018-05-25,97179.16,HR,1,True
8110,Lisa Fernandez,43,F,Greece,2014-10-23,59424.38,HR,3,False
8111,Randy Patel,50,F,Lesotho,2019-10-04,100437.35,Sales,4,True
8112,Brent Bates,21,M,Rwanda,2017-11-08,42378.45,Sales,4,False
8113,Raymond Cruz,38,F,Slovakia (Slovak Republic),2016-12-13,101141.21,Engineering,5,False
8114,Raymond Roman,41,F,United States Minor Outlying Islands,2015-02-01,110548.44,HR,6,False
8115,Thomas Smith,39,F,Togo,2023-09-07,48353.6,Sales,5,False
8116,Michael Cobb,47,F,Kyrgyz Republic,2021-05-15,32235.87,Sales,8,True
8117,Amy Sullivan,57,M,Tuvalu,2020-05-04,105124.2,Engineering,5,True
8118,Jessica Zhang,18,F,Turkmenistan,2022-02-08,93353.46,Marketing,8,False
8119,Brian Hernandez,45,F,Cook Islands,2019-08-25,43265.63,Finance,4,False
8120,Brian Singh,56,M,Benin,2015-04-24,42062.37,Sales,6,False
8121,Victoria Sullivan,34,F,Micronesia,2024-06-02,37928.79,Marketing,1,False
8122,Nicholas Brown,23,M,Iran,2017-05-23,38880.79,Marketing,2,True
8123,Mindy White,21,M,Suriname,2021-03-14,49224.97,Finance,8,True
8124,Zachary Taylor,52,M,Croatia,2015-06-18,107525.68,Marketing,6,False
8125,Charles Miller,26,F,Bouvet Island (Bouvetoya),2017-10-31,94768.23,Finance,6,True
8126,Logan Ryan,48,F,Nauru,2020-03-24,40079.35,Finance,8,False
8127,Tracy Chavez,36,F,Mayotte,2021-11-12,44247.3,Finance,9,False
8128,Renee Allen,20,M,Peru,2020-11-14,78434.01,Engineering,9,True
8129,Angela White,62,F,Seychelles,2017-03-27,41607.63,Engineering,8,False
8130,Sara Church,39,F,Cambodia,2019-10-04,85985.44,Marketing,5,False
8131,Ricky Webster,54,M,Namibia,2022-10-13,52430.43,HR,8,False
8132,Emily Wise,47,F,Australia,2019-12-07,50533.71,HR,2,False
8133,Pamela Campos,25,M,Greece,2015-05-31,91576.52,Finance,9,False
8134,Edward Sandoval,57,F,Canada,2015-12-25,67674.54,Finance,9,True
8135,Dr. Latoya Cook,32,F,Congo,2023-09-02,62619.01,Finance,7,True
8136,Kevin Rogers,38,F,Togo,2015-02-06,66356.01,Finance,3,False
8137,Zachary Stewart,20,F,United States Minor Outlying Islands,2023-09-01,103474.18,Marketing,2,True
8138,Casey Sosa,44,M,Saint Martin,2021-12-08,94526.56,Sales,6,True
8139,Ricardo Fleming,55,M,Bhutan,2023-02-26,102895.68,Sales,4,False
8140,Kelli Aguilar,53,F,Madagascar,2018-11-11,67842.62,HR,5,True
8141,Diane Knight,23,M,Switzerland,2016-01-26,107308.93,Engineering,3,False
8142,Melinda Brennan,31,F,Bermuda,2024-07-09,43864.64,HR,9,True
8143,Abigail Smith,58,M,Gibraltar,2022-01-03,78379.83,Engineering,6,False
8144,Stephanie Gomez,60,M,Barbados,2019-04-27,111204.35,Sales,7,False
8145,Michelle Gonzales,61,M,Saint Lucia,2016-12-14,52020.67,Sales,6,False
8146,Justin Smith,30,M,Saint Vincent and the Grenadines,2019-07-31,57313.59,HR,6,True
8147,Taylor Duncan,60,F,France,2020-07-31,89946.88,Finance,6,False
8148,Angel Allen,53,F,Reunion,2017-11-08,55720.76,HR,5,False
8149,Timothy Moore,27,M,Morocco,2022-01-25,115849.75,Engineering,8,False
8150,Margaret Levine,56,F,Niue,2021-03-14,102772.18,Engineering,9,False
8151,Andrew Barrett,64,F,Bangladesh,2019-12-16,77625.94,HR,1,False
8152,Christine Vazquez,27,F,Slovakia (Slovak Republic),2015-05-30,94914.97,Marketing,4,False
8153,Scott Massey,34,F,United States Minor Outlying Islands,2016-03-24,77648.02,Finance,4,False
8154,Bruce Henderson,33,F,Denmark,2023-05-07,83471.62,Marketing,2,True
8155,Patrick Turner,57,M,Angola,2015-12-06,101928.44,HR,4,True
8156,James Smith,44,M,Guinea-Bissau,2024-01-13,86130.74,HR,7,False
8157,David Williams,32,F,Romania,2018-07-08,41030.48,Engineering,7,True
8158,Edward Kaufman,35,F,Myanmar,2023-02-20,39894.2,Sales,8,False
8159,Martha White,42,M,Central African Republic,2018-01-03,106677.64,Marketing,3,False
8160,Ian Vaughn,47,M,Singapore,2019-03-20,59591.38,Engineering,1,True
8161,Scott Benson,38,F,Saint Pierre and Miquelon,2024-02-03,72636.06,Finance,2,True
8162,Mark Hobbs,28,F,Anguilla,2023-12-04,83323.38,Sales,2,False
8163,Emily Mckenzie,26,M,Germany,2020-02-09,57729.67,Finance,6,True
8164,Megan Powell,19,F,Niger,2021-05-21,33478.33,HR,7,True
8165,David Murphy,34,F,Heard Island and McDonald Islands,2022-02-10,77652.97,Marketing,4,True
8166,Stacey Reid,59,F,Jordan,2015-07-19,79257.12,Engineering,4,False
8167,Virginia Lee,32,M,Benin,2017-09-12,55157.05,Marketing,7,True
8168,Megan Miller,51,F,American Samoa,2021-10-26,93263.26,Sales,8,True
8169,Katie Gonzales,25,F,Guyana,2019-04-12,100830.78,Finance,9,True
8170,Matthew Key,32,F,Moldova,2023-07-01,94949.19,Engineering,7,False
8171,Mark Garrett,22,M,Burkina Faso,2019-01-24,39713.29,Marketing,9,False
8172,Julia Davis,59,M,Venezuela,2016-01-13,93302.36,HR,7,True
8173,Laurie Stephens,28,F,Mauritania,2023-09-10,91113.98,Finance,5,True
8174,Michael Ayers,53,F,Vanuatu,2024-10-10,74713.21,Engineering,5,False
8175,Paula Torres,59,F,Mongolia,2017-05-06,57562.61,Sales,3,False
8176,Emily Morrison,31,M,Senegal,2024-01-02,98594.77,HR,9,True
8177,Mark Gomez,25,M,Liechtenstein,2022-05-15,101143.08,Sales,9,False
8178,Kevin Castro,60,M,Gabon,2017-05-26,34307.18,Finance,4,False
8179,Robert Miller,47,F,Grenada,2021-12-05,74242.22,Marketing,6,False
8180,Nicholas Black,18,M,Austria,2015-11-04,49067.56,Engineering,6,False
8181,Christopher Olson,48,F,Vietnam,2021-06-01,32995.39,Marketing,2,False
8182,Ryan Turner,58,F,Mayotte,2018-05-21,56719.11,Engineering,7,False
8183,Alice Thompson,38,F,Ireland,2019-05-13,82586.0,Engineering,6,False
8184,Roger Krause,21,F,Poland,2019-06-10,78849.44,Finance,9,False
8185,Claudia Martin,25,M,Montserrat,2020-03-13,42721.62,Marketing,2,False
8186,Corey Weber,48,F,Mexico,2024-02-27,97566.71,Finance,1,False
8187,Paul Phillips,45,M,Montserrat,2014-12-06,34382.58,Finance,2,False
8188,Sean Young,53,M,Paraguay,2016-08-20,115623.03,Marketing,6,False
8189,Karen Smith,26,M,Isle of Man,2019-03-17,82943.01,Sales,4,False
8190,Christopher Garcia,37,M,Haiti,2016-04-23,104974.06,Finance,4,False
8191,Regina Garcia,50,F,Austria,2019-08-12,98799.54,Sales,7,False
8192,Joseph Armstrong,43,F,Mozambique,2023-06-21,84696.9,Engineering,4,True
8193,Jean Harris,58,M,Gibraltar,2015-11-09,47731.02,Marketing,7,True
8194,Blake Gonzalez,52,F,Sudan,2015-11-28,117030.69,HR,7,True
8195,Alexis Brown,28,M,Costa Rica,2016-06-20,75644.16,Sales,5,True
8196,Douglas Calhoun,18,F,Mauritania,2021-08-03,43366.96,Sales,5,True
8197,Gabriella Ayala,47,F,Netherlands Antilles,2017-07-21,47739.7,Sales,5,True
8198,Emily Cisneros,41,M,Aruba,2021-10-28,48283.67,Engineering,2,True
8199,Lisa Johnson,56,M,Norway,2022-04-11,42022.45,HR,3,False
8200,Heidi Cummings,35,M,Faroe Islands,2015-07-27,88946.58,HR,8,False
8201,Michele Anderson,63,M,Saint Lucia,2023-06-07,112596.9,HR,7,False
8202,Sarah Lewis,34,F,Bangladesh,2020-10-07,41646.83,Engineering,5,False
8203,Jesse Yu,53,M,Tajikistan,2016-12-28,55477.68,Finance,6,True
8204,Ann Oliver,60,M,Bermuda,2020-11-09,66009.55,Marketing,2,True
8205,Eric Hughes,27,F,Saint Kitts and Nevis,2023-10-03,51759.0,Engineering,9,True
8206,James Pearson,29,F,Barbados,2021-04-08,99752.94,Engineering,8,True
8207,Adam Jimenez,20,F,Saint Pierre and Miquelon,2022-04-01,103142.83,Finance,2,True
8208,Scott Bird,53,M,Saudi Arabia,2018-02-19,84533.9,Finance,8,False
8209,John Pitts,27,F,Central African Republic,2017-06-03,107353.76,Finance,5,False
8210,Lisa Smith,21,F,Azerbaijan,2021-05-26,64524.76,Marketing,1,False
8211,Shelly Lopez,64,M,Romania,2014-11-18,98783.16,HR,8,True
8212,Zachary Zimmerman,39,M,Georgia,2019-08-05,41426.72,Marketing,2,True
8213,Evan Shaw,59,F,Turkmenistan,2021-11-16,51318.54,Sales,4,False
8214,Brian Kelly,47,M,Cote d'Ivoire,2016-03-07,118283.75,Engineering,2,True
8215,Connie White,53,F,Australia,2024-03-30,61806.84,HR,1,False
8216,Brandon Williams,45,M,Christmas Island,2023-04-12,106440.98,HR,2,True
8217,Matthew Hammond,39,M,Tajikistan,2024-01-29,57691.34,Sales,8,False
8218,Kim Bradley,37,M,Australia,2021-12-12,74162.05,Engineering,9,False
8219,Maria Le,59,F,Trinidad and Tobago,2024-06-24,104691.65,Marketing,3,True
8220,Jessica Barr,25,F,Burundi,2023-10-13,119181.51,Sales,7,False
8221,Richard Torres,60,F,Aruba,2021-04-26,53396.81,HR,8,True
8222,Lorraine Jordan,38,M,Samoa,2022-12-13,53420.7,Sales,6,False
8223,Andrew Davidson,38,F,Lithuania,2022-10-25,62695.62,Marketing,6,False
8224,Kenneth Lewis,53,F,Lebanon,2017-10-27,37062.25,Marketing,8,False
8225,Helen Cole,26,F,Jordan,2019-02-17,91428.81,Marketing,8,True
8226,Brooke Rodriguez,53,M,Eritrea,2021-06-23,65390.62,Engineering,9,False
8227,Ashley Bradley,43,F,Taiwan,2020-11-28,105153.35,HR,1,True
8228,Christine Mathis,50,F,Gibraltar,2022-11-12,77656.17,HR,1,False
8229,Becky Gallagher,47,F,Panama,2020-04-11,67125.25,Finance,3,False
8230,Lindsey Miller,31,F,Namibia,2017-05-24,63018.06,Engineering,8,True
8231,Mary Collins,21,M,Guyana,2016-07-28,52865.8,Marketing,6,False
8232,Arthur Leon,26,F,Guam,2022-11-28,66038.67,Engineering,6,False
8233,Juan Rios,27,F,Northern Mariana Islands,2017-07-17,86222.5,HR,2,True
8234,Christopher Hernandez,64,F,Morocco,2023-10-30,36654.18,Finance,9,True
8235,Lori Olsen,25,F,Switzerland,2015-11-28,68155.23,Finance,9,True
8236,Christina Molina,43,M,Cote d'Ivoire,2019-11-07,91154.76,Marketing,8,True
8237,Justin Kennedy,42,F,Mozambique,2019-08-03,63491.02,Finance,1,True
8238,Emma Rice,56,M,New Caledonia,2017-07-05,73104.65,Marketing,5,True
8239,Denise Torres,34,F,Niue,2016-07-29,62316.73,Finance,2,True
8240,Erika Garcia,54,M,Macao,2018-03-10,104465.48,HR,1,False
8241,Sarah Johnson,38,F,Kyrgyz Republic,2020-03-18,43677.47,Engineering,3,True
8242,Lori Hester,62,F,Senegal,2015-07-03,105768.02,Finance,2,True
8243,Michelle Klein,38,F,Guinea,2021-05-10,79375.62,Finance,4,True
8244,Mrs. Norma Stark,48,M,Comoros,2022-09-30,73241.58,Sales,1,True
8245,Faith Stark,57,F,Oman,2017-03-19,34389.81,Sales,5,True
8246,Carolyn Taylor,31,F,Barbados,2018-06-26,113875.89,Marketing,8,False
8247,Matthew Elliott,30,M,Sri Lanka,2021-05-14,53461.72,Finance,5,True
8248,Kimberly Best,59,M,Jersey,2023-12-24,48338.89,Finance,4,True
8249,Stephanie Jones,50,M,Brazil,2018-05-12,99114.63,Marketing,9,True
8250,Kyle Bradford,34,M,Reunion,2021-07-17,41774.97,Marketing,2,False
8251,Frank Mccoy,47,M,China,2017-11-28,43347.33,Engineering,5,True
8252,Bernard Ortiz,61,F,Cayman Islands,2019-08-06,112056.74,Sales,8,False
8253,Janice Owens,26,M,Gibraltar,2024-03-29,52911.78,Finance,2,False
8254,Anita Joseph MD,52,M,Honduras,2020-07-14,108732.0,Engineering,2,True
8255,Katherine Dunn,50,M,Martinique,2022-05-09,47490.15,HR,8,False
8256,Parker Lopez,37,M,Guinea-Bissau,2016-12-01,80563.25,HR,7,True
8257,Michael Mcfarland,50,M,Armenia,2020-02-09,71849.89,Engineering,7,False
8258,Cynthia Fowler,27,F,Romania,2022-09-14,77640.96,Engineering,9,True
8259,Jerry Castillo,47,F,Hungary,2023-01-16,97509.49,Finance,2,True
8260,Tracy Johnson,42,M,Guadeloupe,2014-11-29,112233.92,Sales,2,False
8261,Lauren Khan,52,F,Brunei Darussalam,2015-04-08,107240.07,Sales,7,True
8262,Shawn Guerra,45,F,Comoros,2024-04-15,59857.22,Finance,2,False
8263,Jeffrey Hendrix,46,F,Cyprus,2015-02-08,92514.31,Finance,4,False
8264,Laurie Woods,50,F,Ghana,2023-03-16,107236.88,Engineering,5,False
8265,Richard Porter,43,M,Marshall Islands,2024-08-08,31951.8,Engineering,8,True
8266,Jeremy Mcgrath,50,F,Timor-Leste,2022-12-02,76496.37,HR,4,False
8267,Mrs. Teresa Brooks DDS,21,F,Bangladesh,2024-04-03,113175.77,Finance,1,False
8268,Susan Carter,33,F,Timor-Leste,2021-11-14,39884.53,Sales,6,False
8269,John Smith,54,M,Gibraltar,2016-04-13,103834.87,Sales,2,True
8270,Travis Graves,32,M,Eritrea,2021-03-22,69785.09,Finance,2,True
8271,Kimberly Eaton,30,F,Cyprus,2018-06-18,108382.18,HR,9,True
8272,Matthew Bryant,45,F,Guam,2020-04-18,95566.22,Sales,2,True
8273,Bonnie Scott,22,F,Korea,2015-10-09,96441.97,Marketing,3,False
8274,Samuel Henson,61,M,Algeria,2022-12-21,53834.63,Engineering,2,True
8275,Julie Ryan,30,F,South Georgia and the South Sandwich Islands,2022-12-13,71941.16,Finance,4,False
8276,Kerry West,52,F,Ecuador,2014-10-24,91795.63,HR,7,False
8277,Amanda Brown,31,F,Bahamas,2015-03-02,32121.29,Marketing,7,True
8278,Jessica Howell,46,F,Tuvalu,2017-09-17,57401.12,Sales,4,True
8279,Lori Sawyer,57,F,Kazakhstan,2023-10-03,71472.8,Marketing,5,True
8280,Lori Parker,48,F,Ireland,2024-10-02,97173.77,HR,7,True
8281,Karen Rivera,23,M,Eritrea,2015-04-17,30959.71,Sales,4,True
8282,Brandon Cooper,33,F,Lao People's Democratic Republic,2016-07-04,65462.93,Engineering,8,False
8283,Matthew Coleman,40,M,Bahamas,2019-10-14,68220.87,Engineering,7,True
8284,Joel Holland,29,F,Andorra,2015-01-31,58829.74,HR,1,False
8285,Robert Jackson,62,F,Lao People's Democratic Republic,2024-01-25,63261.55,Sales,3,True
8286,Richard Mitchell,25,F,Lithuania,2022-12-30,33910.12,Finance,7,False
8287,Courtney Wang,23,F,Mozambique,2022-01-28,72477.14,Sales,1,True
8288,Calvin Williams,56,M,Mozambique,2021-10-07,57785.65,Sales,8,False
8289,Derrick Alexander,44,F,India,2017-01-31,62697.25,Marketing,7,True
8290,Margaret Bullock,51,F,Somalia,2016-01-20,104443.16,Marketing,5,False
8291,Kevin Leon,18,M,Kiribati,2019-10-27,110552.38,Engineering,2,True
8292,Michael Garcia,36,M,Nicaragua,2022-12-20,60085.28,Finance,9,True
8293,Christina Compton,30,F,Pitcairn Islands,2018-05-24,69695.36,Finance,9,True
8294,Elizabeth Serrano,56,F,Martinique,2020-10-15,48739.13,Finance,8,False
8295,Dawn Porter,63,M,Paraguay,2017-01-21,45020.02,Marketing,1,False
8296,Michelle Henry,32,F,French Southern Territories,2020-07-11,102407.65,HR,2,True
8297,Alexis Wilson,59,M,Bhutan,2018-11-09,33088.87,Finance,6,True
8298,Susan Maxwell,30,M,Lithuania,2024-03-24,45490.32,Engineering,6,True
8299,Joseph Lambert,42,F,San Marino,2022-09-05,58245.5,Sales,3,False
8300,Lauren Johnson,58,F,San Marino,2017-11-23,34777.05,Finance,5,True
8301,Richard Cross,28,F,Finland,2022-02-15,112669.76,HR,4,False
8302,Jermaine Watson,50,F,Vanuatu,2018-06-27,65048.79,Marketing,6,True
8303,David Powell,19,F,Slovenia,2023-11-17,95665.84,Sales,4,False
8304,Angela Thomas,43,F,Iran,2014-11-12,54283.05,Sales,8,False
8305,Bradley Garcia,48,M,Djibouti,2017-02-12,80332.68,Sales,2,False
8306,Andrea Sherman,58,M,French Southern Territories,2024-01-21,54157.62,Engineering,3,True
8307,Stacy Taylor,58,M,Gabon,2019-05-15,79643.79,Sales,9,False
8308,Jessica Nguyen,22,F,Dominica,2019-04-22,87443.71,Finance,9,False
8309,Lisa Santos,33,M,Russian Federation,2020-01-01,90400.17,Engineering,8,False
8310,Jennifer Dean,32,F,Uruguay,2017-12-24,102972.07,HR,8,False
8311,Chad Nguyen,49,M,Trinidad and Tobago,2015-12-05,47445.57,Engineering,2,False
8312,Andrew Chen,37,M,El Salvador,2023-01-30,30502.08,Engineering,5,True
8313,Alexandra Cannon,47,F,Montserrat,2021-09-21,50155.81,Sales,6,True
8314,Daniel Bullock,35,F,Bermuda,2018-04-03,107563.65,Sales,3,True
8315,Valerie Floyd,51,F,Comoros,2020-03-22,66306.56,HR,2,True
8316,Ray Phillips,19,M,Benin,2018-12-10,84184.75,Sales,1,True
8317,Ryan Perkins,46,F,Iran,2020-09-15,76021.87,Marketing,2,True
8318,Briana Petersen,21,M,New Caledonia,2018-01-01,37496.12,Engineering,1,False
8319,Karl Rich,43,F,Turkey,2022-10-12,95375.16,Finance,2,False
8320,Andrew Dorsey,45,F,Papua New Guinea,2024-07-09,31927.69,Finance,2,False
8321,Gregory Sanders,41,M,Central African Republic,2020-03-07,77506.41,HR,4,False
8322,James Andrews,30,M,Saint Kitts and Nevis,2023-12-26,79774.24,Marketing,2,True
8323,Linda Thompson,34,M,Burkina Faso,2023-09-19,49075.11,HR,1,False
8324,Erica Poole,60,F,Iran,2018-08-28,114349.35,Finance,6,True
8325,Frances Kennedy,28,M,Liechtenstein,2022-12-12,72291.87,Finance,1,False
8326,Jordan Dodson,52,F,Morocco,2019-09-16,93502.4,Marketing,7,True
8327,Eric Mccarty,58,F,Sierra Leone,2016-05-01,57060.61,Finance,7,True
8328,Mark Villanueva,22,F,British Indian Ocean Territory (Chagos Archipelago),2020-10-08,52664.48,Marketing,4,False
8329,John Adams,62,M,Northern Mariana Islands,2018-12-08,115058.29,Marketing,5,True
8330,Sandra Jones,43,F,Russian Federation,2015-11-10,99270.81,Sales,8,False
8331,Meghan Vargas,46,F,Grenada,2023-03-21,60644.35,Marketing,4,True
8332,Gregory Glass,48,M,Chad,2022-08-19,67893.41,Finance,9,True
